Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Category
80,6124898,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.918432601,0.6530721,2041632.667,3535464.996,6124036,336,6124898,2041632.667,3535464.996,6124036,336,0,0.0,0.0,0,0,0,0,80,0,0.6530721,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,4,24,0,0,256,-1,3,20,862.0,0.0,862,862,6124036.0,0.0,6124036,6124036,DDoS,DDoS
21,227,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,61674.00881,13215.85903,113.5,88.38834765,176,51,227,227.0,0.0,227,227,0,0.0,0.0,0,0,1,0,64,20,8810.572687,4405.286344,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,Brute Force
407,55,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,109090.9091,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,18181.81818,18181.81818,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
783,37,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,216216.2162,54054.05405,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,27027.02703,27027.02703,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
80,85813794,8,6,329,11595,323,0,41.125,113.9140497,5803,0,1932.5,2183.927448,138.9520198,0.163143935,6601061.077,23500000.0,84800000,1,85800000,12300000.0,32000000.0,84800000,1,6900,1380.0,2805.401219,6397,50,0,0,260,200,0.093225106,0.069918829,0,5803,794.9333333,1623.061766,2634329.495,0,0,0,0,1,0,0,0,0,851.7142857,41.125,1932.5,8,329,6,11595,274,235,2,20,979.0,0.0,979,979,84800000.0,0.0,84800000,84800000,DoS Hulk,DoS
6668,56,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,142857.1429,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,17857.14286,17857.14286,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
443,60506075,15,14,740,5314,354,0,49.33333333,100.9658122,1460,0,379.5714286,589.1323104,100.0560688,0.479290716,2160931.25,4122566.698,10000000,46,60500000,4321862.5,5099660.904,10100000,134,60400000,4646578.462,5162140.139,10100000,48,0,0,312,352,0.247908991,0.231381725,0,1460,201.8,434.962099,189192.0276,0,0,0,1,0,0,0,0,0,208.7586207,49.33333333,379.5714286,15,740,14,5314,8192,114,14,20,173607.8333,179401.2827,539809,100263,9910707.0,200641.979,10000000,9502028,BENIGN,BENIGN
53,153433,4,2,168,276,42,42,42.0,0.0,138,138,138.0,0.0,2893.771223,39.10501652,30686.6,53053.42396,122525,3,30904,10301.33333,17836.37055,30897,3,4,4.0,0.0,4,4,0,0,128,64,26.07001101,13.03500551,42,138,69.42857143,46.8432035,2194.285714,0,0,0,0,0,0,0,0,0,81.0,42.0,138.0,4,168,2,276,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,472152,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,24638.25209,19.06165811,59019.0,166170.897,470269,3,1576,788.0,1110.157646,1573,3,472106,94421.2,210106.3178,470269,16,0,0,72,132,6.353886037,12.70777207,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,DDoS
49569,41,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,292682.926829268,48780.4878048781,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,24390.243902439,24390.243902439,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,1,6,1,6,360,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
